,title
129,Innistrad Sunset Show
138,Avacyn Restored Sunset Show
148,M13 Sunset Show and Exclusive Return to Ravnica Preview Card
165,Return to Ravnica Sunset Show & Gatecrash Preview Card
179,Gatecrash Sunset Show with Kenji Egashira
197,Dragon’s Maze Sunset Show Featuring Kenji Egashira
229,Born of the Gods Sunset Show
240,Theros Block Sunset Show
250,M15 Sunset Show
266,Khans of Tarkir Sunset Show and LSV’s First Show
291,Dragons of Tarkir Sunset Show
317,Battle for Zendikar Sunset Show
328,Oath of the Gatewatch Sunset Show and Shadows Over Innistrad Preview Cards
343,Shadows over Innistrad Sunset Show
354,Eldritch Moon Sunset and Kaladesh Rules Show
369,Kaladesh Sunset Show
384,Aether Revolt Sunset Show and Amonkhet Preview Cards
395,Amonkhet Sunset Show
406,Hour of Devastation Sunset Show and Ixalan Previews
421,Ixalan Sunset Show
435,Rivals of Ixalan Sunset Show
446,Dominaria Sunset Show with Kenji Egashira
457,M19 Sunset Show and Guilds of Ravnica Exclusive Preview Cards
473,Guilds of Ravnica Sunset Show
487,Ravnica Allegiance Sunset Show
